specObjID,ra,dec,z,class,x,y,z_cart
1969340280633059328,161.86432,13.88975,0.01000012,GALAXY,-40.78116074233965,13.357452534635796,10.611744298165721
1900596066647042048,255.5051,23.163478,0.01000031,GALAXY,-10.172636365719738,-39.349115028464695,17.388859223699246
8334101989970696192,175.32263,47.696914,0.01000056,GALAXY,-29.654888237635276,2.426284101225079,32.69565777632464
408710220768897024,234.0645,-0.34940493,0.01000118,GALAXY,-25.945375561490454,-35.79541657069571,-0.26960427138601983
2220363460007454720,173.03515,40.215365,0.01000597,GALAXY,-33.52685513990618,4.09570350667185,28.55854558611999
685709366392809472,222.27887,61.790855,0.01000618,GALAXY,-15.469568099306482,-14.065798846309772,38.9787509126916
9421589369003988992,172.08058,41.44241,0.01000633,GALAXY,-32.841746951753564,4.568515326731653,29.276340331416062
1087777409131898880,173.42724,50.449539,0.01000766,GALAXY,-27.984264397591986,3.2244079974294766,34.110978351648015
628411890954954752,151.88124,57.729066,0.01000774,GALAXY,-20.832494649841312,11.132283501546093,37.40568608424024
1811583997940099072,178.49693,12.198719,0.01001152,GALAXY,-43.24170644425244,1.134642485633219,9.351393506546348
1643868892218550272,197.96274,40.895025,0.01001275,GALAXY,-31.826748785134928,-10.318260069241258,28.97676440716417
1380442392099842048,176.43984,10.82457,0.01001283,GALAXY,-43.39018285603855,2.6995899186259504,8.312447423252754
2374538079999387648,204.25448,31.766508,0.01001468,GALAXY,-34.315878878275036,-15.461404056238793,23.30622828599575
685697546642810880,223.17557,61.567421,0.01001645,GALAXY,-15.374007991613432,-14.424823522090742,38.9367483094534
9193210082720241664,167.73837,53.394991,0.01001768,GALAXY,-25.803382211957395,5.607948234158167,35.54887897483282
1140578157611476992,171.18618,53.742993,0.01001837,GALAXY,-25.88186806908629,4.013117542708926,35.7110587685613
7541454708755683328,170.60678,53.690599,0.01002049,GALAXY,-25.877632195460386,4.280868181362365,35.694627422682295
1575306921093654528,229.91391,38.881846,0.01002211,GALAXY,-22.207473144915994,-26.385220585288895,27.80944716453895
2177644682660571136,135.92895,29.295527,0.01002221,GALAXY,-27.759814260424374,26.873946573976433,21.67809640916354
11995541983202662400,115.63428,49.192661,0.0100244,GALAXY,-12.528438715917648,26.108769782331343,33.5407569361998
5276181469114685440,170.16823,43.022271,0.01002536,GALAXY,-31.923734417417272,5.532417722953983,30.23664623080812
489853902225696768,116.87372,40.186289,0.01002608,GALAXY,-15.30483655629343,30.201806006437234,28.59862893274978
6544900245696043008,140.72364,46.534274,0.01002708,GALAXY,-23.603686013803603,19.303135583094626,32.17008822939071
2098826465763158016,111.80849,42.203992,0.01003131,GALAXY,-12.203032686579215,30.496651877503457,29.788485813007885
1535730822823307264,170.21016,43.427304,0.01003308,GALAXY,-31.740709016378823,5.476776252309875,30.488330732430438
12700262416170375168,357.1824,4.1643974,0.01003429,GALAXY,44.185686370354524,-2.174646132848152,3.2210849707213702
882844929104046080,200.38021,62.243418,0.01004128,GALAXY,-19.377786464895735,-7.198916362068035,39.279663592134995
887317192834574336,210.7867,59.433629,0.01004201,GALAXY,-19.39291460185002,-11.554396767368157,38.221872784557476
2013138795209189376,147.19909,64.166913,0.01004364,GALAXY,-16.261651371758923,10.480284716356993,39.96074756738812
1472797800772167680,150.76442,10.745951,0.01004535,GALAXY,-38.069177072694394,21.307179274329442,8.279526640355764
8633461635720435712,353.9669,23.615767,0.0100462,GALAXY,40.46430993725876,-4.276606418978265,17.790218457108075
462907070161643520,46.815145,0.73113707,0.01004623,GALAXY,30.388974292622148,32.3781173705849,0.5666758796221701
1900605137617971200,255.06511,23.117095,0.01004729,GALAXY,-10.52723915868688,-39.46753796612695,17.437295074976106
1850004232766253056,214.32294,36.692155,0.01004778,GALAXY,-29.413548483059238,-20.081823676174853,26.53910422210864
2746204351755216896,139.5827,17.753308,0.01004826,GALAXY,-32.206790280580194,27.426899554644244,13.543869985687111
9214442477758732288,165.33591,57.67768,0.01004828,GALAXY,-22.975871835351377,6.012218507235095,37.53556914366083
393001218399561728,253.17349,63.026296,0.01004844,GALAXY,-5.832189395224178,-19.284890804983576,39.58658416541391
1851061962968950784,214.78048,34.871196,0.01004872,GALAXY,-29.932921247903415,-20.788801956359652,25.39635268380472
2098796778949208064,111.35051,42.433087,0.01005061,GALAXY,-11.938289208396332,30.540548801893397,29.977015604380686
1768845706627409920,248.60252,21.53822,0.01005192,GALAXY,-15.079148922594152,-38.482435035721345,16.312699490164785
2882376124954863616,245.22723,62.432828,0.01005213,GALAXY,-8.616728035202446,-18.671607720839308,39.39020269187822
1379400880146638848,176.99597,10.140504,0.01005848,GALAXY,-43.70825426440346,2.2937352948712104,7.828266105700122
396330814402488320,261.87714,62.458069,0.01005973,GALAXY,-2.9053491308385233,-20.35582240913859,39.42897586469073
9449951828462819328,214.31547,58.711665,0.0100656,GALAXY,-19.085902546000543,-13.027072589766862,38.02330011488765
1968176993220454400,159.16017,14.171103,0.01006594,GALAXY,-40.31940171674977,15.347985493727327,10.89340469744394
1481775583678457856,185.19804,58.092501,0.01006757,GALAXY,-23.425324149381016,-2.131063524372433,37.77874514573942
1003245030070052864,119.6823,32.738809,0.01006921,GALAXY,-18.539717192575125,32.526928292373945,24.071610406764925
418946402232592384,329.53048,1.0088956,0.01006923,GALAXY,38.35749206372736,-22.566812769286013,0.783722460328603
