specObjID,ra,dec,z,class,zWarning
1969340280633059328,161.86432,13.88975,0.01000012,GALAXY,0
1900596066647042048,255.5051,23.163478,0.01000031,GALAXY,0
8334101989970696192,175.32263,47.696914,0.01000056,GALAXY,0
408710220768897024,234.0645,-0.34940493,0.01000118,GALAXY,0
2220363460007454720,173.03515,40.215365,0.01000597,GALAXY,0
685709366392809472,222.27887,61.790855,0.01000618,GALAXY,0
9421589369003988992,172.08058,41.44241,0.01000633,GALAXY,0
1087777409131898880,173.42724,50.449539,0.01000766,GALAXY,0
628411890954954752,151.88124,57.729066,0.01000774,GALAXY,0
1811583997940099072,178.49693,12.198719,0.01001152,GALAXY,0
1643868892218550272,197.96274,40.895025,0.01001275,GALAXY,0
1380442392099842048,176.43984,10.82457,0.01001283,GALAXY,0
2374538079999387648,204.25448,31.766508,0.01001468,GALAXY,0
685697546642810880,223.17557,61.567421,0.01001645,GALAXY,0
9193210082720241664,167.73837,53.394991,0.01001768,GALAXY,0
1140578157611476992,171.18618,53.742993,0.01001837,GALAXY,0
7541454708755683328,170.60678,53.690599,0.01002049,GALAXY,0
1575306921093654528,229.91391,38.881846,0.01002211,GALAXY,0
2177644682660571136,135.92895,29.295527,0.01002221,GALAXY,0
11995541983202662400,115.63428,49.192661,0.0100244,GALAXY,0
5276181469114685440,170.16823,43.022271,0.01002536,GALAXY,0
489853902225696768,116.87372,40.186289,0.01002608,GALAXY,0
6544900245696043008,140.72364,46.534274,0.01002708,GALAXY,0
2098826465763158016,111.80849,42.203992,0.01003131,GALAXY,0
1535730822823307264,170.21016,43.427304,0.01003308,GALAXY,0
12700262416170375168,357.1824,4.1643974,0.01003429,GALAXY,0
882844929104046080,200.38021,62.243418,0.01004128,GALAXY,0
887317192834574336,210.7867,59.433629,0.01004201,GALAXY,0
2013138795209189376,147.19909,64.166913,0.01004364,GALAXY,0
1472797800772167680,150.76442,10.745951,0.01004535,GALAXY,0
8633461635720435712,353.9669,23.615767,0.0100462,GALAXY,0
462907070161643520,46.815145,0.73113707,0.01004623,GALAXY,0
1900605137617971200,255.06511,23.117095,0.01004729,GALAXY,0
1850004232766253056,214.32294,36.692155,0.01004778,GALAXY,0
2746204351755216896,139.5827,17.753308,0.01004826,GALAXY,0
9214442477758732288,165.33591,57.67768,0.01004828,GALAXY,0
393001218399561728,253.17349,63.026296,0.01004844,GALAXY,0
1851061962968950784,214.78048,34.871196,0.01004872,GALAXY,0
2098796778949208064,111.35051,42.433087,0.01005061,GALAXY,0
1768845706627409920,248.60252,21.53822,0.01005192,GALAXY,0
2882376124954863616,245.22723,62.432828,0.01005213,GALAXY,0
1379400880146638848,176.99597,10.140504,0.01005848,GALAXY,0
396330814402488320,261.87714,62.458069,0.01005973,GALAXY,0
9449951828462819328,214.31547,58.711665,0.0100656,GALAXY,0
1968176993220454400,159.16017,14.171103,0.01006594,GALAXY,0
1481775583678457856,185.19804,58.092501,0.01006757,GALAXY,0
1003245030070052864,119.6823,32.738809,0.01006921,GALAXY,0
418946402232592384,329.53048,1.0088956,0.01006923,GALAXY,0
421144044689713152,333.49774,-1.1851877,0.01006955,GALAXY,0
642962827316848640,147.17522,3.6900613,0.01007194,GALAXY,0
380591305450874880,194.77134,-3.2043648,0.01007847,GALAXY,0
2358840077712386048,179.73414,31.419679,0.01007944,GALAXY,0
1473875317285218304,171.55856,56.802195,0.01008276,GALAXY,0
1389377298297284608,146.91104,7.0180179,0.01008402,GALAXY,0
9474713380562688000,229.19359,55.394837,0.01008619,GALAXY,0
8457941083565086720,131.84866,49.561289,0.0100867,GALAXY,0
5485387194641438720,146.37125,6.3792611,0.01008858,GALAXY,0
7664137662937454592,214.3139,58.710903,0.01008994,GALAXY,0
1967120087047497728,158.58412,13.750464,0.0100925,GALAXY,0
2434198692832503808,233.82954,20.842378,0.01009498,GALAXY,0
673341784339802112,177.75963,64.327034,0.01009941,GALAXY,0
427878828304525312,345.33543,-0.92595697,0.01009961,GALAXY,0
2946624992395159552,197.57686,20.68831,0.01010026,GALAXY,0
1952475965867190272,114.13208,41.43999,0.01010065,GALAXY,0
1616802762824116224,167.13481,45.173392,0.01010074,GALAXY,0
6495565156994799616,137.26823,20.581101,0.01010415,GALAXY,0
1118168736298199040,146.03791,5.9368831,0.01010644,GALAXY,0
9234857122432571392,206.01351,58.147004,0.01010736,GALAXY,0
2573932043687716864,137.33458,20.69732,0.01010843,GALAXY,0
2573818793990055936,138.09938,18.77269,0.01010945,GALAXY,0
1556071513965225984,218.64407,36.288371,0.01011006,GALAXY,0
6439082691027818496,149.06173,59.307169,0.01011376,GALAXY,0
486544922015459328,116.15665,40.883303,0.01011479,GALAXY,0
692596982241323008,233.66048,59.172572,0.01011588,GALAXY,0
702687750708553728,245.19759,47.064994,0.01011735,GALAXY,0
2984826699352401920,198.0471,21.40518,0.01012159,GALAXY,0
957038049785571328,197.8469,3.4114153,0.01012274,GALAXY,0
6633921099624372224,175.58513,16.013339,0.01012404,GALAXY,0
3116532520259184640,233.92417,13.217707,0.01012466,GALAXY,0
13148361509481764864,136.22322,25.001903,0.01012537,GALAXY,0
1969210263383074816,162.34049,12.9056,0.01012649,GALAXY,0
1087633098230753280,173.42792,48.33471,0.0101278,GALAXY,0
10303177253069281280,342.7738,-1.9873602,0.01012781,GALAXY,0
1625909742759077888,175.03803,48.258233,0.01012943,GALAXY,0
1081025579462977536,205.87572,59.167869,0.01013167,GALAXY,0
866985847507937280,151.13228,60.107974,0.01013394,GALAXY,0
2505260671071971328,180.06644,29.901309,0.01013433,GALAXY,0
884960389341669376,208.68445,60.07549,0.01013477,GALAXY,0
884974133237016576,208.539,60.678055,0.01013536,GALAXY,0
1087634747498194944,173.51627,48.477047,0.01013683,GALAXY,0
591231080258889728,198.03562,2.9884888,0.01013695,GALAXY,0
1306169281125312512,214.10112,57.850475,0.01013759,GALAXY,0
1053988043477772288,135.81282,38.55786,0.01013761,GALAXY,0
6023633871656212480,161.34252,13.714103,0.01013905,GALAXY,0
1481802246835431424,187.40173,58.021133,0.01013911,GALAXY,0
867096898182342656,151.05614,60.370673,0.01014001,GALAXY,0
1807105410860083200,169.91109,11.445371,0.01014017,GALAXY,0
1398394671004149760,57.893078,-1.2262693,0.01014237,GALAXY,0
937977740437514240,140.72575,46.534465,0.01014281,GALAXY,0
887294652846204928,210.19052,59.328281,0.01014418,GALAXY,0
1450173694360971264,218.83601,43.97182,0.01014702,GALAXY,0
5180342530966050816,179.19707,32.017817,0.01014723,GALAXY,0
9467802399790094336,214.31247,58.710875,0.01014806,GALAXY,0
9069143661405820928,253.58139,50.46278,0.0101499,GALAXY,0
2819357065816860672,173.231,23.230216,0.0101528,GALAXY,0
1850005057399973888,214.26052,36.571584,0.01015295,GALAXY,0
619402761548621824,130.26091,49.425212,0.01015687,GALAXY,0
1848844247529187328,210.00085,37.306823,0.01015957,GALAXY,0
1947932241850034176,242.33645,8.7632579,0.01016002,GALAXY,0
8560477417873102848,353.96631,23.61971,0.0101604,GALAXY,0
2912714948176013312,153.61906,15.902928,0.01016395,GALAXY,0
725168911783323648,327.16586,-6.8365481,0.01016477,GALAXY,0
